Spice name,Traditional Name,uses,Origin,Chemical Composition,Other uses
Clerodendrum,"Nephaphu (Assam), Uningthou (Manipur), Phuihnam (Mizoram), Phui-hii (Nagaland), Sla Tyrkhong (Meghalaya)","Hypertension, cholesterol control, joint pain, antioxidant, antidiabetic","Manipur, Mizoram, Nagaland, Meghalaya, Arunachal Pradesh","Diterpenoids, flavonoids, tannins, saponins, alkaloids","Edible green, livestock medicine, anti-inflammatory poultice"
Indian Yellow Garcinia,"Bor Thekera (Assam), Heibung (Manipur), Heh-riew (Khasi), Sohlang (Garo)","Liver tonic, digestive aid, cholesterol control, anti-inflammatory, weight loss","Assam, Manipur, Meghalaya, Mizoram, Nagaland","HCA, garcinol, xanthones, phenolics, flavonoids","Food souring agent, livestock care, pickling, nutraceuticals"
Starflower,bonjaluk,"Fever, liver tonic, anti-inflammatory, digestion aid, skin, kidney support","Assam, Manipur, Meghalaya, Nagaland, Mizoram","Anthraquinones, flavonoids, iridoids, phenolics, sterols, alkaloids","Herbal tea, livestock medicine, tribal tonics"
Spearmint,podina,"Digestion, nausea, cough, stress relief, skin cooling, menstrual support","Assam, Manipur, Nagaland, Meghalaya, Arunachal Pradesh","Carvone, limonene, cineole, menthol (low), rosmarinic acid, flavonoids","Flavoring agent, insect repellent, cattle digestive tonic, cosmetics, aromatics"
Roxburgh's Mussaenda,shuklati,"Wounds, menstrual support, inflammation, fever, skin issues","Assam, Nagaland, Manipur, Meghalaya, Mizoram","Flavonoids, tannins, saponins, alkaloids, phenolics, terpenoids","Ornamental gardening, herbal teas, ethnoveterinary treatment"
Sweet Potato,Mithamora,"diabetes,anti-inflammatory,antioxidant","assam,nagaland","starch,fibre,protein,fat","animal feed,industrail purposes"
Turmeric,Halodhi,"anti-inflammatory,antimicrobial effects,antioxidant","Meghalaya,assam","curcuminoids,essesntial oil,carbohydrates,proteins,fats,minerals"," wound healing,skin conditions"
Elephant Apple,Outenga,"diabetes,inflammation,diarrhea,skin conditions","assam,arunachal pradesh,manipur,mizoram","flavonoids,triterpenoids,tannins","curries,jams,chutneys"
Indian gooseberry,Amlakhi,"boosts immunity,digestive health,cardiovascular health","assam,arunachal pradesh,manipur,mizoram","vitamin c,carbohydrates,fiber,protein,fats","hair dye and tanning,"
Fig Tree,Dimoru,"antioxidant,antibacterial,skin treatments,anti-inflammatory","assam,meghalaya,arunachal pradesh,nagaland,manipur,tripura","glucose,citric axid,sucrose,essential ois,flavonoids,vitamin A,resins and gums","medicinal uses,religious and cultural significance"
Stonebreaker,"Banamlakhi (Assam), Laphum(Meghalaya & Nagaland)","Liver Health & Hepatoprotection, Kidney & Urinary Health, 
Diabetes Management, Antiviral & Antimicrobial Properties, 
Anti-inflammatory & Pain Relief, Digestive Health, Skin Disorders,
Respiratory Health","Assam, Manipur, Nagaland, Meghalaya,Tripura & Arunachal Pradesh","Alkaloids, Flavonoids,Lignans,Tannins,Terpenoids,Polyphenols","Veterinary Medicine, Agricultural Use, Dye & Tanning Industry
Religious & Cultural Uses"
"Nutmeg, Mace",Jaiphal (Assam),"Digestive aid, sedative, analgesic, aphrodisiac, oral and skin health","Assam, Tripura, Manipur, Meghalaya","Myristicin, eugenol, safrole, linalool, terpineol, flavonoids, tannins","Spices, cosmetics, rituals, perfumery, insect repellent"
"Pink Flag Bush, Roxburgh's Mussaendra","Shuklati, Dhopati (Assam), Leipung (Manipur)","Wound healing, anti-inflammatory, fever, indigestion, women’s health","Assam, Manipur, Meghalaya, Nagaland, Arunachal Pradesh","Flavonoids, triterpenoids, saponins, glycosides, alkaloids, phenolics","Ornamental, cultural rituals, ethnoveterinary"
Curry Leaf,"narasingha (Assam),  Thoiding (Manipur)","Digestive aid, anti-diabetic, liver tonic, antioxidant, hair health","Assam, Manipur, Tripura, Mizoram, Meghalaya","Mahanimbine, koenimbine, caryophyllene, quercetin, limonene","Culinary spice, cosmetics, insect repellent, livestock medicine"
Indian Gamboge ,"Kuji Thekera (Assam), Heiribob (Manipur)","Digestive, liver tonic, antioxidant, weight management, antimicrobial","Assam, Tripura, Manipur, Meghalaya, Arunachal Pradesh","Gambogic acid, garcinol, HCA, flavonoids, tannins","Culinary souring agent, dye, resin, crafts, ethnoveterinary medicine"
Assam Mangosteen,"Rupohi thekera (Assam), Heiribob (Manipur)","Digestive aid, liver tonic, antimicrobial, antioxidant, weight management","Assam, Manipur, Meghalaya, Mizoram, Tripura","Xanthones, HCA, flavonoids, garcinol, tannins, phenolic acids","Culinary souring agent, fermented food, ethnoveterinary medicine"
Black Mustard,"Kala hariyah (Assam), Ngaikhong (Manipur), Rai (Mizoram)","Anti-inflammatory, respiratory aid, digestive stimulant, antimicrobial","Assam, Tripura, Manipur, Meghalaya","Sinigrin, isothiocyanates, fatty acids, flavonoids, vitamins","Cooking oil, pickles, massage oil, cattle medicine, green manure"
White mustard,"Boga hariyah (Assam), Sarisha (Tripura)","Digestive aid, respiratory support, pain relief, mild antimicrobial","Assam, Tripura, Manipur (less common than B. nigra)","Sinalbin, isothiocyanates, mucilage, fixed oils, flavonoids","Culinary spice, poultice, green manure, pickles, animal feed"
Spreading Hogweed,"Leitonmubi (Manipur), Panaunuwa(Assam), Khasi Punarnava (Meghalaya)","Liver tonic, diuretic, anti-inflammatory, respiratory aid, anemia","Assam, Manipur, Meghalaya, Tripura, Mizoram","Punarnavine, Boeravinones, flavonoids, sterols, alkaloids","Animal medicine, Ayurveda, tribal food herb"
Cassumunar Ginger,Moran Ada ,"Treats colds, headaches, throat infections, and vomiting","Arunachal Pradesh, Assam, Meghalaya,and Sikkim","phenylbutenoids, curcuminoids, sesquiterpenoids",Also used to repel insects and pests in organic farming.
Ginger Lily,Ada,"Treats pain, inflammations, sprains, and respiratory issues","Assam, Meghalaya, Sikkim, and Nagaland","terpenes like zingiberene, ?-bisabolene, and ?-farnesene, as well as phenolic compounds like gingerol, paradols",Also used to repels insects and pests in organic farming.
Tamarind ,Tetali,"Treating conditions like abdominal pain, diarrhea, dysentery, constipation, and wound healing","Assam, Meghalaya, Manipur and Nagaland","tartaric acid, pectin, cellulose, calcium, pottasium, and phosphorus",Tamarind seeds powder is used in the production of natural adhesives. Tamarind trees fix nitrogen and improves soil quality.
Sesame ,Til,"Treating skin conditions, ulcers, and even certain types of cancers.","Assam, Nagaland, and the Garo-khasi region","alanine , arginine, aspartic acid, cysteine, glutamic acid, glycine ",Its oil can serve as a natural lubricant in delicate mechanical systems. Sesame oil can also  act as natural pesticide or fungicide.
Shiny-leaf prickly ash,Tejmui,"Treats Pneumonia, cough,and cancer","Assam, Sikkim, and Nagaland","Alkaloids, coumarins, terpenoids, flavonoids, lignans, and zanthoxylumamides",Also used as a spice or flavoring agent and sometimes applied as a poultice for wounds and skin conditions.
